team1,team2,team1Home,team2Home,neutralVenue,friendly,qualifier,finaltourn,team1_win_rate_10,team1_loss_rate_10,team1_draw_rate_10,team1_goal_diff_avg_10,team1_confed_form_10,team1_win_rate_20,team1_loss_rate_20,team1_draw_rate_20,team1_goal_diff_avg_20,team1_confed_form_20,team1_win_rate_30,team1_loss_rate_30,team1_draw_rate_30,team1_goal_diff_avg_30,team1_confed_form_30,team1_win_rate_40,team1_loss_rate_40,team1_draw_rate_40,team1_goal_diff_avg_40,team1_confed_form_40,team1_win_rate_50,team1_loss_rate_50,team1_draw_rate_50,team1_goal_diff_avg_50,team1_confed_form_50,team2_win_rate_10,team2_loss_rate_10,team2_draw_rate_10,team2_goal_diff_avg_10,team2_confed_form_10,team2_win_rate_20,team2_loss_rate_20,team2_draw_rate_20,team2_goal_diff_avg_20,team2_confed_form_20,team2_win_rate_30,team2_loss_rate_30,team2_draw_rate_30,team2_goal_diff_avg_30,team2_confed_form_30,team2_win_rate_40,team2_loss_rate_40,team2_draw_rate_40,team2_goal_diff_avg_40,team2_confed_form_40,team2_win_rate_50,team2_loss_rate_50,team2_draw_rate_50,team2_goal_diff_avg_50,team2_confed_form_50
RUS,KSA,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.5,0.4,0.1,1.0,0.5,0.35,0.4,0.25,0.8,0.35,0.3666666666666666,0.3666666666666666,0.2666666666666666,0.4,0.3666666666666666,0.325,0.375,0.3,0.35,0.325,0.32,0.42,0.26,0.36,0.28
RUS,EGY,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.4,0.4,0.2,-0.6,0.3,0.4,0.5,0.1,-0.1,0.3,0.4,0.4333333333333333,0.1666666666666666,0.0666666666666666,0.3666666666666666,0.45,0.35,0.2,-0.175,0.375,0.38,0.36,0.26,0.02,0.36
RUS,URU,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.5,0.2,0.3,-0.4,0.5,0.55,0.3,0.15,-0.15,0.65,0.5333333333333333,0.3333333333333333,0.1333333333333333,-0.4333333333333333,0.5,0.45,0.375,0.175,-0.2,0.425,0.42,0.34,0.24,-0.14,0.46
RUS,POR,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.1,0.8,0.1,1.6,0.2,0.15,0.65,0.2,0.9,0.25,0.1666666666666666,0.6,0.2333333333333333,0.7,0.2333333333333333,0.225,0.6,0.175,0.65,0.225,0.22,0.58,0.2,0.64,0.22
RUS,ESP,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.3,0.6,0.1,1.1,0.2,0.15,0.8,0.05,1.25,0.1,0.1,0.8666666666666667,0.0333333333333333,1.5,0.0666666666666666,0.075,0.75,0.175,1.425,0.1,0.1,0.7,0.2,1.26,0.08
RUS,MAR,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.4,0.1,0.5,-0.3,0.4,0.4,0.15,0.45,-0.25,0.45,0.4,0.2,0.4,-0.1,0.3666666666666666,0.35,0.2,0.45,-0.075,0.375,0.36,0.22,0.42,-0.12,0.36
RUS,IRN,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.1,0.4,0.5,0.7,0.0,0.15,0.5,0.35,0.75,0.05,0.1,0.4666666666666667,0.4333333333333333,0.7,0.0666666666666666,0.2,0.45,0.35,0.525,0.125,0.24,0.44,0.32,0.58,0.16
RUS,FRA,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.2,0.5,0.3,0.7,0.3,0.25,0.45,0.3,0.35,0.25,0.3,0.4,0.3,0.1666666666666666,0.3,0.225,0.5,0.275,0.45,0.225,0.22,0.52,0.26,0.5,0.24
RUS,AUS,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.1,0.2,0.7,0.3,0.1666666666666666,0.2,0.4,0.4,0.5,0.1666666666666666,0.2333333333333333,0.4,0.3666666666666666,0.5666666666666667,0.1666666666666666,0.25,0.375,0.375,0.45,0.1666666666666666,0.28,0.36,0.36,0.46,0.1666666666666666
RUS,PER,0,0,1,0,0,1,0.6,0.3,0.1,0.6,0.7,0.7,0.25,0.05,1.0,0.75,0.7,0.2,0.1,1.1333333333333333,0.7,0.675,0.2,0.125,1.125,0.7,0.7,0.16,0.14,1.36,0.68,0.2,0.4,0.4,0.4,0.0,0.5,0.25,0.25,-0.35,0.0,0.5666666666666667,0.2,0.2333333333333333,-0.5333333333333333,0.0,0.65,0.175,0.175,-1.0,0.0,0.64,0.16,0.2,-1.04,0.0
